Date,"Kernwaffe"
2015-12-20,1046
2015-12-21,931
2015-12-22,942
2015-12-23,1326
2015-12-24,825
2015-12-25,889
2015-12-26,905
2015-12-27,891
2015-12-28,918
2015-12-29,1015
2015-12-30,887
2015-12-31,765
2016-01-01,855
2016-01-02,985
2016-01-03,1246
2016-01-04,1030
2016-01-05,1128
2016-01-06,7408
2016-01-07,3901
2016-01-08,1897
2016-01-09,1372
2016-01-10,1759
2016-01-11,1599
2016-01-12,1597
2016-01-13,1581
2016-01-14,1384
2016-01-15,1523
2016-01-16,1357
2016-01-17,2183
2016-01-18,1568
2016-01-19,1419
2016-01-20,1386
2016-01-21,1478
2016-01-22,1028
2016-01-23,892
2016-01-24,1039
2016-01-25,1117
2016-01-26,1168
2016-01-27,1501
2016-01-28,1198
2016-01-29,936
2016-01-30,949
2016-01-31,1070
2016-02-01,1167
2016-02-02,1041
2016-02-03,1289
2016-02-04,1138
2016-02-05,2220
2016-02-06,913
2016-02-07,1209
2016-02-08,1149
2016-02-09,1246
2016-02-10,1220
2016-02-11,1337
2016-02-12,1192
2016-02-13,1218
2016-02-14,1495
2016-02-15,1529
2016-02-16,1362
2016-02-17,1299
2016-02-18,1377
2016-02-19,1276
2016-02-20,1245
2016-02-21,1256
2016-02-22,1240
2016-02-23,1821
2016-02-24,1388
2016-02-25,1251
2016-02-26,1314
2016-02-27,1128
2016-02-28,1365
2016-02-29,1112
2016-03-01,1133
2016-03-02,1601
2016-03-03,1494
2016-03-04,1481
2016-03-05,1016
2016-03-06,1718
2016-03-07,1645
2016-03-08,1401
2016-03-09,1442
2016-03-10,1207
2016-03-11,1098
2016-03-12,911
2016-03-13,1083
2016-03-14,1081
2016-03-15,1795
2016-03-16,1139
2016-03-17,1064
